X,Y,Z
-0.0193871,0.0394589,-2.06402
0.0034785,0.0374369,-2.05648
0.00390625,0.0405373,-2.05565
0.000264239,0.0394589,-2.06402
0.119715,0.0394589,-2.06402
0.11371,0.0374369,-2.05648
-0.179348,0.0319126,-2.06605
-0.177139,0.0298906,-2.0585
-0.0273438,0.0340272,-2.06548
-0.0273438,0.0371509,-2.05655
-0.0317041,0.0298906,-2.0585
-0.0283374,0.0319126,-2.06605
-0.0195313,0.0390591,-2.06413
0.00155618,0.0319126,-2.06605
0.00357846,0.0298906,-2.0585
0.113281,0.0299921,-2.05888
0.113281,0.0328161,-2.05772
0.112981,0.0298906,-2.0585
0.118507,0.0319126,-2.06605
-0.175781,0.0239111,-2.0601
-0.178219,0.0243663,-2.06807
-0.175781,0.0225795,-2.0614
-0.175277,0.0223443,-2.06052
-0.0273438,0.0239701,-2.06659
-0.0273438,0.0263216,-2.06754
-0.0291533,0.0223443,-2.06052
-0.0263306,0.0243663,-2.06807
0.00390625,0.0280323,-2.059
0.00262218,0.0243663,-2.06807
0.00390625,0.0233125,-2.06413
0.00550493,0.0223443,-2.06052
0.113281,0.0224139,-2.06078
0.113111,0.0223443,-2.06052
0.117789,0.0243663,-2.06807
-0.175781,0.0182781,-2.0697
-0.175315,0.01682,-2.07009
-0.173411,0.014798,-2.06254
-0.0273438,0.0191616,-2.06137
-0.0220225,0.014798,-2.06254
-0.0198793,0.01682,-2.07009
0.00390625,0.0189834,-2.06951
0.00430669,0.01682,-2.07009
0.00779457,0.014798,-2.06254
0.113281,0.0149766,-2.06321
0.112833,0.014798,-2.06254
0.117444,0.01682,-2.07009
-0.174941,0.0092737,-2.07211
-0.173083,0.00725167,-2.06457
-0.0195313,0.0109052,-2.06359
-0.0195313,0.00834223,-2.06864
-0.0204368,0.0092737,-2.07211
-0.0187139,0.00725167,-2.06457
0.00519547,0.0092737,-2.07211
0.0083995,0.00725167,-2.06457
0.113281,0.00738743,-2.06507
0.112926,0.00725167,-2.06457
0.117002,0.0092737,-2.07211
-0.174552,0.0017274,-2.07413
-0.172954,-0.000294622,-2.06659
-0.0195313,0.00555855,-2.06502
-0.023486,-0.000294622,-2.06659
-0.0195313,0.00148057,-2.07321
-0.0195313,0.00444505,-2.07341
-0.0190562,0.0017274,-2.07413
0.00647785,0.0017274,-2.07413
0.00926115,-0.000294622,-2.06659
0.113281,-4.18072e-05,-2.06753
0.112584,-0.000294622,-2.06659
0.116582,0.0017274,-2.07413
-0.173127,-0.0058189,-2.07616
-0.171395,-0.00784092,-2.06861
-0.0195313,-0.000694321,-2.07478
-0.0208356,-0.0058189,-2.07616
-0.0228699,-0.00784092,-2.06861
0.00553854,-0.0058189,-2.07616
0.00872231,-0.00784092,-2.06861
0.113281,-0.00758736,-2.06956
0.112492,-0.00784092,-2.06861
0.116059,-0.0058189,-2.07616
-0.173702,-0.0133652,-2.07818
-0.171359,-0.0153872,-2.07063
-0.0197576,-0.0133652,-2.07818
-0.0224415,-0.0153872,-2.07063
0.00570358,-0.0133652,-2.07818
0.00882286,-0.0153872,-2.07063
0.113281,-0.0150679,-2.07182
0.112433,-0.0153872,-2.07063
0.115858,-0.0133652,-2.07818
-0.1712,-0.0209115,-2.0802
-0.169805,-0.0229335,-2.07265
-0.0195313,-0.0209952,-2.07989
-0.0195313,-0.0174617,-2.07928
